candle_date_time_kst,opening_price,trade_price,high_price,change_rate,market,candle_date_time_utc,prev_closing_price,candle_acc_trade_volume,change_price,low_price,candle_acc_trade_price,timestamp
2025-09-22T09:00:00,4162.00000000,4073.00000000,4169.00000000,-0.0213839500,KRW-XRP,2025-09-22T00:00:00,4162.00000000,210182839.60646245,-89.00000000,3953.00000000,847983139234.49975150,1758585599513,
2025-09-21T09:00:00,4175.00000000,4162.00000000,4214.00000000,-0.0033524904,KRW-XRP,2025-09-21T00:00:00,4176.00000000,61889936.46808721,-14.00000000,4145.00000000,258589017692.64128505,1758499199707,
2025-09-20T09:00:00,4197.00000000,4176.00000000,4217.00000000,-0.0050035740,KRW-XRP,2025-09-20T00:00:00,4197.00000000,51121889.53133137,-21.00000000,4151.00000000,213976193809.47050242,1758412799389,
2025-09-19T09:00:00,4269.00000000,4197.00000000,4295.00000000,-0.0170960187,KRW-XRP,2025-09-19T00:00:00,4270.00000000,82315872.23193425,-73.00000000,4184.00000000,348182417568.81852904,1758326399525,
2025-09-18T09:00:00,4271.00000000,4270.00000000,4353.00000000,0,KRW-XRP,2025-09-18T00:00:00,4270.00000000,112386065.05329154,null,4247.00000000,483500379453.01358659,1758239999415,
2025-09-17T09:00:00,4224.00000000,4270.00000000,4311.00000000,0.0108901515,KRW-XRP,2025-09-17T00:00:00,4224.00000000,87809145.10651865,46.00000000,4162.00000000,370998972129.11775971,1758153599595,
2025-09-16T09:00:00,4182.00000000,4224.00000000,4249.00000000,0.0100430416,KRW-XRP,2025-09-16T00:00:00,4182.00000000,60598787.77807896,42.00000000,4130.00000000,254388698949.11770881,1758067199695,
2025-09-15T09:00:00,4209.00000000,4182.00000000,4255.00000000,-0.0064148254,KRW-XRP,2025-09-15T00:00:00,4209.00000000,97827654.54255024,-27.00000000,4112.00000000,409692066514.64581009,1757980799412,
2025-09-14T09:00:00,4324.00000000,4209.00000000,4329.00000000,-0.0265957447,KRW-XRP,2025-09-14T00:00:00,4324.00000000,90098430.17282229,-115.00000000,4176.00000000,383361806868.44194352,1757894399903,
2025-09-13T09:00:00,4311.00000000,4324.00000000,4412.00000000,0.0027829314,KRW-XRP,2025-09-13T00:00:00,4312.00000000,120243437.25397707,12.00000000,4282.00000000,522164316929.74303889,1757807999666,
2025-09-12T09:00:00,4224.00000000,4312.00000000,4343.00000000,0.0210750651,KRW-XRP,2025-09-12T00:00:00,4223.00000000,108538256.33408897,89.00000000,4210.00000000,462505119733.22123373,1757721599456,
2025-09-11T09:00:00,4150.00000000,4223.00000000,4234.00000000,0.0175903614,KRW-XRP,2025-09-11T00:00:00,4150.00000000,94380703.15179852,73.00000000,4126.00000000,394857500532.33753645,1757635199904,
2025-09-10T09:00:00,4109.00000000,4150.00000000,4194.00000000,0.0099780969,KRW-XRP,2025-09-10T00:00:00,4109.00000000,62837248.76762609,41.00000000,4092.00000000,260642356771.42266626,1757548799762,
2025-09-09T09:00:00,4138.00000000,4109.00000000,4209.00000000,-0.0070082165,KRW-XRP,2025-09-09T00:00:00,4138.00000000,98221614.56481000,-29.00000000,4087.00000000,407227749995.48078866,1757462399737,
2025-09-08T09:00:00,4013.00000000,4138.00000000,4167.00000000,0.0311487665,KRW-XRP,2025-09-08T00:00:00,4013.00000000,105480218.78587614,125.00000000,4002.00000000,432311505145.89595966,1757375999620,
2025-09-07T09:00:00,3936.00000000,4013.00000000,4092.00000000,0.0198221093,KRW-XRP,2025-09-07T00:00:00,3935.00000000,73301721.30159653,78.00000000,3935.00000000,294298372799.05400212,1757289599934,
2025-09-06T09:00:00,3944.00000000,3935.00000000,3957.00000000,-0.0022819473,KRW-XRP,2025-09-06T00:00:00,3944.00000000,28618990.35037903,-9.00000000,3925.00000000,112748779510.93283125,1757203199977,
2025-09-05T09:00:00,3927.00000000,3944.00000000,4012.00000000,0.0043290043,KRW-XRP,2025-09-05T00:00:00,3927.00000000,87973040.86653160,17.00000000,3901.00000000,348557516689.72101646,1757116799938,
2025-09-04T09:00:00,3944.00000000,3927.00000000,3987.00000000,-0.0043103448,KRW-XRP,2025-09-04T00:00:00,3944.00000000,78099050.68589818,-17.00000000,3917.00000000,308633412273.14614203,1757030399772,
2025-09-03T09:00:00,3983.00000000,3944.00000000,3998.00000000,-0.0097916144,KRW-XRP,2025-09-03T00:00:00,3983.00000000,71372817.82092408,-39.00000000,3919.00000000,282721722632.86431645,1756943998872,
2025-09-02T09:00:00,3849.00000000,3983.00000000,3988.00000000,0.0348142375,KRW-XRP,2025-09-02T00:00:00,3849.00000000,111127380.32026217,134.00000000,3831.00000000,434609744187.51776805,1756857599528,
2025-09-01T09:00:00,3868.00000000,3849.00000000,3945.00000000,-0.0049120993,KRW-XRP,2025-09-01T00:00:00,3868.00000000,173587897.04253418,-19.00000000,3750.00000000,666042538786.76258323,1756771198607,
2025-08-31T09:00:00,3928.00000000,3868.00000000,4000.00000000,-0.0152749491,KRW-XRP,2025-08-31T00:00:00,3928.00000000,84756379.38926694,-60.00000000,3862.00000000,333162423529.04461953,1756684799596,
2025-08-30T09:00:00,3961.00000000,3928.00000000,3966.00000000,-0.0083312295,KRW-XRP,2025-08-30T00:00:00,3961.00000000,120032100.40600185,-33.00000000,3855.00000000,469264032749.80879282,1756598400013,
2025-08-29T09:00:00,4134.00000000,3961.00000000,4150.00000000,-0.0418480890,KRW-XRP,2025-08-29T00:00:00,4134.00000000,227937156.11099156,-173.00000000,3900.00000000,913934462976.00493202,1756511999756,
2025-08-28T09:00:00,4156.00000000,4134.00000000,4204.00000000,-0.0057720058,KRW-XRP,2025-08-28T00:00:00,4158.00000000,71025983.31888038,-24.00000000,4120.00000000,296062615011.36013218,1756425599888,
2025-08-27T09:00:00,4216.00000000,4158.00000000,4241.00000000,-0.0137571157,KRW-XRP,2025-08-27T00:00:00,4216.00000000,75792996.57048627,-58.00000000,4150.00000000,318160438977.41121631,1756339199702,
2025-08-26T09:00:00,4046.00000000,4216.00000000,4300.00000000,0.0420168067,KRW-XRP,2025-08-26T00:00:00,4046.00000000,100180439.06718512,170.00000000,4032.00000000,415425234172.45362103,1756252799532,
2025-08-25T09:00:00,4201.00000000,4046.00000000,4234.00000000,-0.0368959771,KRW-XRP,2025-08-25T00:00:00,4201.00000000,114551819.75014531,-155.00000000,4017.00000000,472890466047.50525007,1756166399482,
2025-08-24T09:00:00,4215.00000000,4201.00000000,4307.00000000,-0.0033214709,KRW-XRP,2025-08-24T00:00:00,4215.00000000,107668114.83685055,-14.00000000,4162.00000000,454720411009.06870877,1756079999857,
2025-08-23T09:00:00,4235.00000000,4215.00000000,4243.00000000,-0.0049575071,KRW-XRP,2025-08-23T00:00:00,4236.00000000,97426180.94343806,-21.00000000,4101.00000000,407730797128.35821055,1755993599364,
2025-08-22T09:00:00,4000.00000000,4236.00000000,4286.00000000,0.059,KRW-XRP,2025-08-22T00:00:00,4000.00000000,265089702.60603833,236.00000000,3901.00000000,1090739768724.49063455,1755907199727,
2025-08-21T09:00:00,4110.00000000,4000.00000000,4120.00000000,-0.0265271356,KRW-XRP,2025-08-21T00:00:00,4109.00000000,74545008.48888372,-109.00000000,3990.00000000,302453723808.29878046,1755820799972,
2025-08-20T09:00:00,3990.00000000,4109.00000000,4152.00000000,0.0298245614,KRW-XRP,2025-08-20T00:00:00,3990.00000000,132249511.38675724,119.00000000,3954.00000000,535186273061.95831227,1755734399780,
2025-08-19T09:00:00,4251.00000000,3990.00000000,4279.00000000,-0.0616180621,KRW-XRP,2025-08-19T00:00:00,4252.00000000,144935804.68492938,-262.00000000,3970.00000000,596365975433.86514372,1755647999854,
2025-08-18T09:00:00,4296.00000000,4252.00000000,4303.00000000,-0.0102420857,KRW-XRP,2025-08-18T00:00:00,4296.00000000,153119139.45922285,-44.00000000,4104.00000000,642179357726.24229863,1755561599879,
2025-08-17T09:00:00,4315.00000000,4296.00000000,4352.00000000,-0.0044032445,KRW-XRP,2025-08-17T00:00:00,4315.00000000,61494000.50634062,-19.00000000,4282.00000000,265628266240.82018196,1755475199978,
2025-08-16T09:00:00,4302.00000000,4315.00000000,4375.00000000,0.0030218503,KRW-XRP,2025-08-16T00:00:00,4302.00000000,64920085.38190225,13.00000000,4295.00000000,280748614614.51986918,1755388799323,
2025-08-15T09:00:00,4289.00000000,4302.00000000,4352.00000000,0.0030310096,KRW-XRP,2025-08-15T00:00:00,4289.00000000,102234626.94826354,13.00000000,4201.00000000,438900068683.81896247,1755302399531,
2025-08-14T09:00:00,4467.00000000,4289.00000000,4560.00000000,-0.0398477726,KRW-XRP,2025-08-14T00:00:00,4467.00000000,307154844.13426746,-178.00000000,4188.00000000,1343770835480.58350471,1755215999880,
2025-08-13T09:00:00,4466.00000000,4467.00000000,4538.00000000,0.0004479283,KRW-XRP,2025-08-13T00:00:00,4465.00000000,167679675.59860053,2.00000000,4400.00000000,748228699794.84149042,1755129599557,
2025-08-12T09:00:00,4333.00000000,4465.00000000,4510.00000000,0.0302261191,KRW-XRP,2025-08-12T00:00:00,4334.00000000,159436559.52288534,131.00000000,4282.00000000,699672912074.35951446,1755043199926,
2025-08-11T09:00:00,4382.00000000,4334.00000000,4555.00000000,-0.0109539023,KRW-XRP,2025-08-11T00:00:00,4382.00000000,196165496.35904636,-48.00000000,4315.00000000,869850418133.57558184,1754956799982,
2025-08-10T09:00:00,4440.00000000,4382.00000000,4500.00000000,-0.0135074291,KRW-XRP,2025-08-10T00:00:00,4442.00000000,136551096.82480083,-60.00000000,4321.00000000,601324162794.19944675,1754870399211,
2025-08-09T09:00:00,4503.00000000,4442.00000000,4590.00000000,-0.0135465245,KRW-XRP,2025-08-09T00:00:00,4503.00000000,143393605.45643736,-61.00000000,4420.00000000,647327392420.25098100,1754783999873,
2025-08-08T09:00:00,4568.00000000,4503.00000000,4664.00000000,-0.0142294221,KRW-XRP,2025-08-08T00:00:00,4568.00000000,270420459.88019415,-65.00000000,4423.00000000,1232868309211.37669110,1754697598920,
2025-08-07T09:00:00,4163.00000000,4568.00000000,4595.00000000,0.0970220941,KRW-XRP,2025-08-07T00:00:00,4164.00000000,212595646.21295741,404.00000000,4140.00000000,929493607732.72069411,1754611199970,
